id_sensor | valor | tipo | timestamp
2 | 57.07 | CO2 | 2025-01-15 15:49:23
2 | 57.35 | CO2 | 2025-01-15 15:49:29
2 | 57.32 | CO2 | 2025-01-15 15:49:35
2 | 56.99 | CO2 | 2025-01-15 15:49:41
2 | 57.04 | CO2 | 2025-01-15 15:49:47
2 | 57.25 | CO2 | 2025-01-15 15:49:53
2 | 57.16 | CO2 | 2025-01-15 15:50:00
2 | 57.14 | CO2 | 2025-01-15 15:50:06
2 | 57.01 | CO2 | 2025-01-15 15:50:12
2 | 57.06 | CO2 | 2025-01-15 15:50:18
2 | 57.21 | CO2 | 2025-01-15 15:50:24
2 | 57.2 | CO2 | 2025-01-15 15:50:30
2 | 57.09 | CO2 | 2025-01-15 15:50:36
2 | 57.24 | CO2 | 2025-01-15 15:50:42
2 | 57.35 | CO2 | 2025-01-15 15:51:07
2 | 57.22 | CO2 | 2025-01-15 15:51:19
2 | 56.7 | CO2 | 2025-01-15 15:51:26
2 | 57.13 | CO2 | 2025-01-15 15:51:32
2 | 57.28 | CO2 | 2025-01-15 15:51:38
2 | 57.25 | CO2 | 2025-01-15 15:51:44
2 | 56.98 | CO2 | 2025-01-15 15:51:50
2 | 57.15 | CO2 | 2025-01-15 15:51:56
2 | 56.89 | CO2 | 2025-01-15 15:52:02
2 | 56.96 | CO2 | 2025-01-15 15:52:08
2 | 57.15 | CO2 | 2025-01-15 15:52:14
2 | 57.31 | CO2 | 2025-01-15 15:52:20
2 | 57.35 | CO2 | 2025-01-15 15:52:26
2 | 57.11 | CO2 | 2025-01-15 15:52:34
2 | 56.97 | CO2 | 2025-01-15 15:52:40
2 | 57.14 | CO2 | 2025-01-15 15:52:46
2 | 57.14 | CO2 | 2025-01-15 15:52:52
2 | 57.34 | CO2 | 2025-01-15 15:52:59
2 | 57.02 | CO2 | 2025-01-15 15:53:05
2 | 57.24 | CO2 | 2025-01-15 15:53:11
2 | 57.1 | CO2 | 2025-01-15 15:53:17
2 | 57.29 | CO2 | 2025-01-15 15:53:23
2 | 56.79 | CO2 | 2025-01-15 15:53:29
2 | 57.16 | CO2 | 2025-01-15 15:53:35
2 | 56.93 | CO2 | 2025-01-15 15:53:41
2 | 57.24 | CO2 | 2025-01-15 15:53:47
2 | 57.26 | CO2 | 2025-01-15 15:53:53
2 | 56.89 | CO2 | 2025-01-15 15:54:00
2 | 57.32 | CO2 | 2025-01-15 15:54:06
2 | 57.0 | CO2 | 2025-01-15 15:54:12
2 | 57.1 | CO2 | 2025-01-15 15:54:18
2 | 57.18 | CO2 | 2025-01-15 15:54:24
2 | 57.1 | CO2 | 2025-01-15 15:54:30
